업체명,업종,주소,전화번호,평점,리뷰수,연락상태,나우링크URL,네이버플레이스URL,수집일시
"쿠타팜 테라스 광안리점",카페,"부산광역시 수영구 광안해변로 153-1 3층",,,,pending,https://www.nowlink.kr/store/cafe-부산-1,http://instagram.com/kutapalm,2026-04-27T01:58:27.071Z
"신기커피영도",카페,"부산광역시 영도구 와치로 65 신기커피영도",,,,pending,https://www.nowlink.kr/store/cafe-부산-2,https://www.instagram.com/sinkicoffee,2026-04-27T01:58:27.071Z
"쏘쏘사라다 부산서면점",카페,"부산광역시 부산진구 전포대로199번길 40-5 1층",,,,pending,https://www.nowlink.kr/store/cafe-부산-3,https://www.instagram.com/soso_sarada/,2026-04-27T01:58:27.071Z
"테이블",카페,"부산광역시 북구 모분재로15번길 96 지하층",,,,pending,https://www.nowlink.kr/store/cafe-부산-4,https://smartstore.naver.com/ta-ble,2026-04-27T01:58:27.071Z
"파밀리아 베이커리",카페,"부산광역시 금정구 금강로 188 1층, 2층",,,,pending,https://www.nowlink.kr/store/cafe-부산-5,https://www.instagram.com/familia_bakery,2026-04-27T01:58:27.071Z
"쿠타팜 테라스 광안리점",카페,"부산광역시 수영구 광안해변로 153-1 3층",,,,pending,https://www.nowlink.kr/store/cafe-부산-6,http://instagram.com/kutapalm,2026-04-27T01:58:27.071Z
"신기커피영도",카페,"부산광역시 영도구 와치로 65 신기커피영도",,,,pending,https://www.nowlink.kr/store/cafe-부산-7,https://www.instagram.com/sinkicoffee,2026-04-27T01:58:27.071Z
"쏘쏘사라다 부산서면점",카페,"부산광역시 부산진구 전포대로199번길 40-5 1층",,,,pending,https://www.nowlink.kr/store/cafe-부산-8,https://www.instagram.com/soso_sarada/,2026-04-27T01:58:27.071Z
"테이블",카페,"부산광역시 북구 모분재로15번길 96 지하층",,,,pending,https://www.nowlink.kr/store/cafe-부산-9,https://smartstore.naver.com/ta-ble,2026-04-27T01:58:27.071Z
"파밀리아 베이커리",카페,"부산광역시 금정구 금강로 188 1층, 2층",,,,pending,https://www.nowlink.kr/store/cafe-부산-10,https://www.instagram.com/familia_bakery,2026-04-27T01:58:27.071Z
"쿠타팜 테라스 광안리점",카페,"부산광역시 수영구 광안해변로 153-1 3층",,,,pending,https://www.nowlink.kr/store/cafe-부산-11,http://instagram.com/kutapalm,2026-04-27T01:58:27.071Z
"신기커피영도",카페,"부산광역시 영도구 와치로 65 신기커피영도",,,,pending,https://www.nowlink.kr/store/cafe-부산-12,https://www.instagram.com/sinkicoffee,2026-04-27T01:58:27.071Z
"쏘쏘사라다 부산서면점",카페,"부산광역시 부산진구 전포대로199번길 40-5 1층",,,,pending,https://www.nowlink.kr/store/cafe-부산-13,https://www.instagram.com/soso_sarada/,2026-04-27T01:58:27.071Z
"테이블",카페,"부산광역시 북구 모분재로15번길 96 지하층",,,,pending,https://www.nowlink.kr/store/cafe-부산-14,https://smartstore.naver.com/ta-ble,2026-04-27T01:58:27.071Z
"파밀리아 베이커리",카페,"부산광역시 금정구 금강로 188 1층, 2층",,,,pending,https://www.nowlink.kr/store/cafe-부산-15,https://www.instagram.com/familia_bakery,2026-04-27T01:58:27.071Z
"쿠타팜 테라스 광안리점",카페,"부산광역시 수영구 광안해변로 153-1 3층",,,,pending,https://www.nowlink.kr/store/cafe-부산-16,http://instagram.com/kutapalm,2026-04-27T01:58:27.071Z
"신기커피영도",카페,"부산광역시 영도구 와치로 65 신기커피영도",,,,pending,https://www.nowlink.kr/store/cafe-부산-17,https://www.instagram.com/sinkicoffee,2026-04-27T01:58:27.071Z
"쏘쏘사라다 부산서면점",카페,"부산광역시 부산진구 전포대로199번길 40-5 1층",,,,pending,https://www.nowlink.kr/store/cafe-부산-18,https://www.instagram.com/soso_sarada/,2026-04-27T01:58:27.071Z
"테이블",카페,"부산광역시 북구 모분재로15번길 96 지하층",,,,pending,https://www.nowlink.kr/store/cafe-부산-19,https://smartstore.naver.com/ta-ble,2026-04-27T01:58:27.071Z
